Columns: ['NFe (55) - VENDA', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15', 'Unnamed: 16', 'Unnamed: 17', 'Unnamed: 18', 'Unnamed: 19', 'Unnamed: 20', 'Unnamed: 21', 'Unnamed: 22', 'Unnamed: 23', 'Unnamed: 24', 'Unnamed: 25', 'Unnamed: 26', 'Unnamed: 27', 'Unnamed: 28', 'Unnamed: 29', 'Unnamed: 30']

   NFe (55) - VENDA Unnamed: 1 Unnamed: 2 Unnamed: 3 Unnamed: 4 Unnamed: 5 Unnamed: 6 Unnamed: 7 Unnamed: 8 Unnamed: 9 Unnamed: 10 Unnamed: 11 Unnamed: 12 Unnamed: 13 Unnamed: 14 Unnamed: 15 Unnamed: 16 Unnamed: 17 Unnamed: 18 Unnamed: 19 Unnamed: 20 Unnamed: 21 Unnamed: 22 Unnamed: 23 Unnamed: 24 Unnamed: 25 Unnamed: 26 Unnamed: 27 Unnamed: 28  Unnamed: 29 Unnamed: 30
0               NaN         AC         AL         AP         AM         BA         CE         DF         ES         GO          MA          MG          MS          MT          PA          PB          PE          PI          PR          RJ          RN          RO          RR          RS          SC          SE          SP          TO          EX          NaN       Total
1            jan-25          0       9980     2089.8       9115   52413.54    17823.8          0     7065.5      25990        9405   117519.82           0    14895.87   145496.94        1150         791       123.6     55496.5    27911.55       16249       22900           0   102212.73   113120.75     27339.2   245171.85           0    406166.0          0.0  1430427.45
2            fev-25          0       6740          0     107726    56219.0    64836.8      11565     115429    50727.5        5723   218155.45       17256     88026.0     28990.0        9585       10397        4900    60411.24   111567.55         382           0         155       45539   128400.04     10579.6    361091.1       20187   306526.31          0.0  1841114.59
3            mar-25          0      10649          0    55362.2      33025       1869      16800   100580.0      20940        3799    92682.89       51034     33798.1       22986       25500     27714.9           0    36171.59    34678.19           0           0           0   101369.82    70826.72     19853.8   329848.63       13900    20212.41          0.0  1123601.25
4            abr-25          0          0          0    11547.4    60432.5   69109.85          0      46075    15017.6      5157.9   182020.38       96324    148277.7      138080      5385.5       11423       16393    47603.48       339.2       16900        4892           0      137389     29633.1       15200    381730.7        1088   669767.06          0.0  2109786.37
5            mai-25       9980      12850      15990      45513    31323.5      25490    19381.0    36579.5    20430.6     24237.6   189668.97       31380       28486       10650     22564.5     31207.4     15900.0       48639   106488.11           0           0           0     79020.7     77840.8       10650   482255.66     13121.3    86143.65          0.0  1475791.29
6            jun-25          0    15030.6        416  102361.45    75078.5   58106.05       8090      59428    44475.5    15189.66   152600.48       11301       16383       32000       15780       19600       37943    67137.84    88727.88        5910           0           0     57890.2       26640       10029   233834.75       25790    56893.51          0.0  1236636.42
7            jul-25          0      26639          0    43092.3    55265.0    39132.1      37029   115792.1      87111       24623   239115.38    31129.53     79495.3      133414       16549      100861       12900     73729.6    121338.6       16140       12690           0     91367.5    88403.01       46650      727061        2239    89351.63       6500.0  2317618.05
8            ago-25      30000    32836.8          0   117118.0     123167       5160       7900    85232.3     161694       13900   326596.95       32800       31569       46815       19939       87078       16990       78723      100205           0       22938           0      136120       85682     21265.2   728246.96       16780   218966.21          0.0  2547722.42
9            set-25   30633.41       4990          0        940  241827.68      17339          0      71229  140083.05       31543   179169.25       25480    45468.52    44661.75        6200     80149.3        1087   107016.03   106140.55       15106    63188.16           0    81935.65     93120.1        4149   444744.44           0   250418.39          0.0  2086619.28
10           out-25    32438.8      39000    17590.2     196.65     112564      10560       7320    20870.5    45897.8       18543   121825.94    44976.57    93573.64    25336.51       29639       47016     37554.0    37764.85   208246.83       46599        4990           0   131267.78   152646.55           0  1289678.69           0   172658.89          0.0   2748755.2
11           nov-25    27032.5    31140.0     -53.74     4638.6    27999.9      46228          0    64626.5   85632.55           0   197131.06        7009     71686.2    49666.28       19849       98756        8999    92202.78    100046.9    116910.1       14680       26800    168541.5    93437.87       53867   463030.95     9615.99   317650.97          0.0  2197124.91
12           dez-25          0       93.1          0   68730.44      26891        237          0   16202.55      40554       69490    161445.8     10327.3     13682.3     56117.5        9000   130696.52    12087.92    42497.14    89366.35        2180       14300      196.65     15368.8     30662.8    18965.55   182055.42           0   215243.67          0.0  1226391.81
13           jan-26          0       1409       6899    45461.6    14317.5   15763.05          0         69    11320.6           0    230881.5    12583.09       13861    137745.5        6079    29144.35    24773.57       46187       17600         539       29627           0     59774.6      108346     33698.5    108735.8       15955   202190.96          0.0  1172961.62
14           fev-26       5900       5900          0   56502.85      31243   29587.73    18780.0      29790        305           0    97309.65       14754       45052    34958.65       18880    20769.15       10580       34893    159265.8    10915.47       27980           0    195316.2     89468.0    128855.0   226510.01     18555.5    117685.9          0.0  1429756.91
15           mar-26      23800    20933.1          0      21752   89689.52    33551.1   52833.57      91499   42072.75     29462.2   227639.97    25826.41    15414.98   120814.93     30702.0    34811.75           0    81186.94   205455.76    24124.66    31478.79           0    143861.3   130130.41     7746.38   285643.36        8799   324977.82          0.0   2104207.7
16           abr-26          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0          0.0           0
17           mai-26          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0          0.0           0
18           jun-26          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0          0.0           0
19           jul-26          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0          0.0           0
